category,headline,first_paragraph,tokens-headline,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming
corrupt,Protests in Peru as Team Investigating Odebrecht Corruption Is,,protests peru team investigating odebrecht corruption,protest investig odebrecht corrupt,protests investigating odebrecht corruption,protest peru team investig odebrecht corrupt
educ,"In addition to the drama of collapsing schools, a discussion must begin about what education we want in Paraguay in which the sector ...",,addition the drama collapsing schools discussion must begin about what education want paraguay which the sector,addit drama collaps school discuss educ want sector,addition drama collapsing schools discussion education want sector,addit the drama collaps school discuss must begin about what educ want paraguay which the sector
health,A jurisdictional instance revived the discussion on the right to life and decriminalization of abortion passed by law in the previous legislature.,,jurisdictional instance revived the discussion the right life and decriminalization abortion passed law the previous legislature,jurisdict instanc reviv discuss right life abort pass previous legislatur,jurisdictional instance revived discussion right life abortion passed previous legislature,jurisdict instanc reviv the discuss the right life and abort pass law the previous legislatur
economi,"Venezuela spent 5,657 million dollars on armaments and military equipment for the Bolivarian National Armed Forces (FANB) as well as vehicles and ...",,venezuela spent million dollars armaments and military equipment for the bolivarian national armed forces fanb well vehicles and,spend dollar armament militari equip bolivarian arm forc fanb vehicl,spent dollars armaments military equipment bolivarian national armed forces fanb vehicles,venezuela spend million dollar armament and militari equip for the bolivarian nation arm forc fanb well vehicl and
economi,Argentina insists on the elimination of subsidies to agriculture and fishing. These aids make export difficult. The claim is with other countries in the region.,,argentina insists the elimination subsidies agriculture and fishing these aids make export difficult the claim with other countries the region,insist elimin subsidi agricultur fish aid export difficult claim region,insists elimination subsidies agriculture fishing aids export difficult claim countries region,argentina insist the elimin subsidi agricultur and fish these aid make export difficult the claim with other countri the region
crime,Bolivia builds women's independence to curb domestic violence,,bolivia builds women independence curb domestic violence,build women independ curb domest violenc,builds women independence curb domestic violence,bolivia build women independ curb domest violenc
polit,The Minister of Foreign Affairs Delcy RodrÃÂ¯ÃÂ¿ÃÂ½ÃÂ¯ÃÂ¿ÃÂ½guez informed that Venezuela will begin the process to withdraw from the Organization of American States,,the minister foreign affairs delcy rodrÃ£ Ã¢Â½Ã£ Ã¢Â½guez informed that venezuela will begin the process withdraw from the organization american states,minist foreign affair delci rodrÃ£ Ã¢Â½guez inform process withdraw organ,minister foreign affairs delcy rodrÃ£ Ã¢Â½guez informed process withdraw organization states,the minist foreign affair delci rodrÃ£ Ã¢Â½Ã£ Ã¢Â½guez inform that venezuela will begin the process withdraw from the organ american state
crime,"Mud Erased a Village in Peru, a Sign of Larger Perils in South America",,mud erased village peru sign larger perils south america,eras villag sign larger peril,erased village sign larger perils,mud eras villag peru sign larger peril south america
crime,Riot by Drug Gangs in Brazil Prison Leaves at Least 56 Dead - The,,riot drug gangs brazil prison leaves least dead the,riot drug gang prison dead,riot drug gangs prison leaves dead,riot drug gang brazil prison leav least dead the
health,The future of medical technology: bioelectronics and the treatment of chronic conditions,"Imagine you have a chronic condition such as diabetes or hypertension. You go to see your doctor who recommends that you have an implant. A small electronic device, introduced through standard keyhole surgery, will change the messages your nerves send around your body so you feel better. It sounds like something out of science fiction Ã¢ÂÂ but within 10 years it could be a reality, thanks to a new field known as bioelectronic medicine.",the future medical technology bioelectronics and the treatment chronic conditions,futur medic technolog bioelectron treatment chronic condit,future medical technology bioelectronics treatment chronic conditions,the futur medic technolog bioelectron and the treatment chronic condit
crime,Rio de Janeiro violence: Brazil army to take control of security - BBC,,rio janeiro violence brazil army take control security bbc,janeiro violenc armi control secur,janeiro violence army control security,rio janeiro violenc brazil armi take control secur bbc
economi,Colombia is taking less juice out of the FTAs. Entrepreneurs call for the market to be invested and known. TLC. Anif argues that in ...,,colombia taking less juice out the ftas entrepreneurs call for the market invested and known tlc anif argues that,juic ftas entrepreneur market invest know anif argu,taking juice ftas entrepreneurs market invested known anif argues,colombia take less juic out the ftas entrepreneur call for the market invest and know tlc anif argu that
crime,They investigate if a Mexican cartel operates in Argentina: they seize 2 tons of cocaine. Most of it was in steel coils in a warehouse ...,,they investigate mexican cartel operates argentina they seize tons cocaine most was steel coils warehouse,investig cartel oper seiz ton cocain steel coil warehous,investigate cartel operates seize tons cocaine steel coils warehouse,they investig mexican cartel oper argentina they seiz ton cocain most be steel coil warehous
polit,Kim Jong Un Secretly Met With Xi Jinping Again,President Trump is set to meet with Kim sometime in the next few weeks.,kim jong secretly met with jinping again,jong secret jinp,jong secretly jinping,kim jong secret meet with jinp again
polit,Homeland Security Denies Report That Secretary Drafted Resignation Letter,The New York Times says Trump berated Kirstjen Nielsen's ability to secure the border.,homeland security denies report that secretary drafted resignation letter,homeland secur deni secretari draft resign letter,homeland security denies secretary drafted resignation letter,homeland secur deni report that secretari draft resign letter
educ,Education minister brands lowering of A-level grades as 'lunacy',"An education minister has attacked his own governmentÃ¢ÂÂs policies of expanding access to higher education, saying it is Ã¢ÂÂlunacyÃ¢ÂÂ and Ã¢ÂÂmadnessÃ¢ÂÂ to allow students with low A-level grades into university.",education minister brands lowering level grades lunacy,educ minist brand lower level grade lunaci,education minister brands lowering level grades lunacy,educ minist brand lower level grade lunaci
health,How I Fought My Fears Of Failure And Success,"By Tim Clark Life is fluid, evolving, flowing, a work in progress. I always had this romantic vision of being one with the",how fought fears failure and success,fight fear failur success,fought fears failure success,how fight fear failur and success
corrupt,Disarmed and dangerous: can former Farc guerrillas adjust to,,disarmed and dangerous can former farc guerrillas adjust,disarm danger farc guerrilla adjust,disarmed dangerous farc guerrillas adjust,disarm and danger can former farc guerrilla adjust
health,Uruguay pharmacies start selling cannabis straight to consumers,,uruguay pharmacies start selling cannabis straight consumers,pharmaci start sell cannabi straight consum,pharmacies start selling cannabis straight consumers,uruguay pharmaci start sell cannabi straight consum
crime,Bill De Blasio Tells NYPD To Stop Arresting People For Smoking Pot On The Street,The recommendation comes days after the Manhattan district attorney pledged to stop prosecuting low-level marijuana cases.,bill blasio tells nypd stop arresting people for smoking pot the street,blasio tell nypd stop arrest smoke street,blasio tells nypd stop arresting people smoking street,bill blasio tell nypd stop arrest peopl for smoke pot the street
economi,Growing drugs in Peru : finding profitable alternatives for coca,,growing drugs peru finding profitable alternatives for coca,grow drug profit altern coca,growing drugs finding profitable alternatives coca,grow drug peru find profit altern for coca
health,"Mentally Ill Adults Smoke Much More, Study Finds","More than a third of adults with mental illness smoke, a rate that is about 70% higher than those with no mental illness, according to a government report released Tuesday.",mentally ill adults smoke much more study finds,mental adult smoke studi,mentally adults smoke study finds,mental ill adult smoke much more studi find
economi,"With Trump in the White House, the Family Business Takes It Down  ",,with trump the white house the family business takes down,white hous famili busi,white house family business takes,with trump the white hous the famili busi take down
polit,"Twitter Bots May Have Delivered Donald Trump's Victory, Research Paper Says","Ã¢ÂÂOur results suggest that, given narrow margins of victories in each vote, botsÃ¢ÂÂ effect was likely marginal but possibly large enough to affect the outcomes.""",twitter bots may have delivered donald trump victory research paper says,twitter bot deliv donald victori research paper,twitter bots delivered donald victory research paper says,twitter bot may have deliv donald trump victori research paper say
crime,Cesare Battisti: Italian ex-militant arrested in Bolivia - BBC News,,cesare battisti italian militant arrested bolivia bbc news,cesar battisti italian milit arrest,cesare battisti italian militant arrested,cesar battisti italian milit arrest bolivia bbc news
crime,"Back in Brazil, he received ameazas from his former companion, who alleged no ... that human trafficking has different characteristics in different areas of Brazil.",,back brazil received ameazas from his former companion who alleged that human trafficking has different characteristics different areas brazil,receiv ameaza companion alleg human traffic differ characterist differ area,received ameazas companion alleged human trafficking different characteristics different areas,back brazil receiv ameaza from his former companion who alleg that human traffic have differ characterist differ area brazil
health,BRASÃÂ¯ÃÂ¿ÃÂ½ÃÂ¯ÃÂ¿ÃÂ½LIA - Brazil needs to invest R $ 150 billion to guarantee all residents of the cities access to the basic sanitation service until,,brasÃ£ Ã¢Â½Ã£ Ã¢Â½lia brazil needs invest billion guarantee all residents the cities access the basic sanitation service until,brasÃ£ Ã¢Â½lia need invest billion guarante resid access basic sanit servic,brasÃ£ Ã¢Â½lia needs invest billion guarantee residents cities access basic sanitation service,brasÃ£ Ã¢Â½Ã£ Ã¢Â½lia brazil need invest billion guarante all resid the citi access the basic sanit servic until
health,"Statins, the ethics of preventive medicine, and the nocebo reaction","The Royal Colleges of Physicians and GPs are opposed to Nice proposals for population-level prescription of statins (Doctors call for rethink on prescribing statins, 11 June). As one of the designers of the Newcastle University simulation on healthy ageing, it is gratifying to see this scenario being played in the real world. Coming in the same week that we hear that one-third of the population is at high risk of type 2 diabetes, perhaps we can consider an even more interesting scenario: tagging obese patients with stepometers? If this is combined with rewards and penalties, the question is also ethical and philosophical, not medical: by what moral authority should doctors control behaviour? A scenario today, but reality tomorrow?",statins the ethics preventive medicine and the nocebo reaction,statin ethic prevent medicin nocebo reaction,statins ethics preventive medicine nocebo reaction,statin the ethic prevent medicin and the nocebo reaction
corrupt,Colombia and Farc rebels sign historic ceasefire deal to end 50-year,,colombia and farc rebels sign historic ceasefire deal end year,farc rebel sign histor ceasefir deal,farc rebels sign historic ceasefire deal,colombia and farc rebel sign histor ceasefir deal end year
health,Andes to the Amazon + Deforestation | Environment | The Guardian,,andes the amazon deforestation environment the guardian,andes amazon deforest environ,andes amazon deforestation environment,andes the amazon deforest environ the guardian
educ,New York Governor Unveils Plan To Help Lower Income Students Afford College,Gov. Andrew Cuomo says his proposal would alleviate the student debt burden.,new york governor unveils plan help lower income students afford college,governor unveil plan help lower incom student afford colleg,governor unveils plan help lower income students afford college,new york governor unveil plan help lower incom student afford colleg
economi,"RIO - The number of Brazilian millionaires fell from 172,000 in 2016 to 164,000 in 2017 but is expected to rise to almost 300,000 (296,000) by 2022 ...",,rio the number brazilian millionaires fell from but expected rise almost,number millionair fell expect rise,number millionaires fell expected rise,rio the number brazilian millionair fell from but expect rise almost
educ,Four common lies about higher education,"It seems as though we now get a steady stream of reports, statements, musings and other expressions of the sentiment that college isnÃ¢ÂÂt worth the money.",four common lies about higher education,common lie higher educ,common lies higher education,four common lie about higher educ
economi,This week in our economic capsule we stop to look at the numbers that the last Permanent Household Survey (EPH) in its chapter ...,,this week our economic capsule stop look the numbers that the last permanent household survey eph its chapter,econom capsul stop look number perman household survey chapter,economic capsule stop look numbers permanent household survey chapter,this week our econom capsul stop look the number that the last perman household survey eph it chapter
health,What Stress Does To Your Sex Life,"We manage a lot in our lives and relationships, especially during the years of life where our careers and families are taking",what stress does your sex life,stress life,stress life,what stress do your sex life
health,El Nino southern oscillation | Environment | The Guardian,,nino southern oscillation environment the guardian,nino southern oscil environ,nino southern oscillation environment,nino southern oscil environ the guardian
health,CanÃ¢ÂÂt swallow pills? HereÃ¢ÂÂs how to do it right,"By ""pills,"" I mean medications that come as tablets or capsules. There aren't any actual pillson the US market today but people still use that",canÃ¢ swallow pills hereÃ¢ how right,canÃ¢ swallow pill hereÃ¢ right,canÃ¢ swallow pills hereÃ¢ right,canÃ¢ swallow pill hereÃ¢ how right
crime,Brazil nursery attack: Children set on fire in Minas Gerais - BBC News,,brazil nursery attack children set fire minas gerais bbc news,nurseri attack children mina gerai,nursery attack children minas gerais,brazil nurseri attack children set fire mina gerai bbc news
polit,Giuliani Says Trump Lawyer Michael Cohen 'Has No Incriminating Information About The President',The newest member of TrumpÃ¢ÂÂs legal team in the Russia probe says he feels bad for Cohen and Paul Manafort because of the Ã¢ÂÂstorm trooper tacticsÃ¢ÂÂ used against them.,giuliani says trump lawyer michael cohen has incriminating information about the president,giuliani lawyer michael cohen incrimin inform presid,giuliani says lawyer michael cohen incriminating information president,giuliani say trump lawyer michael cohen have incrimin inform about the presid
unemploy,"India Can Hide Unemployment Data, but Not the Truth","India has a job crisis, and the government would rather you didnÃ¢ÂÂt notice. Last month, it hastily amended the Constitution to set aside 10 percent of all government posts for the Ã¢ÂÂeconomically weak.Ã¢ÂÂ But it defined the Ã¢ÂÂeconomically weakÃ¢ÂÂ as anybody from a household earning less than 800,000 rupees, roughly $11,200, a year or owning a very tiny bit of land. And as the sociologist Sonalde Desai has argued, that covers about 95 percent of IndiaÃ¢ÂÂs population.",india can hide unemployment data but not the truth,india hide unemploy data truth,india hide unemployment data truth,india can hide unemploy data but not the truth
economi,Why Does Congress Want To Take $250 From Every Teacher?,My wife teaches music in IowaÃ¢ÂÂs most urban school district. She is assigned to ten different schools where she often teaches,why does congress want take from every teacher,congress want everi teacher,congress want teacher,whi do congress want take from everi teacher
economi,"Crime, economy the key issues",UNC political leader Kamla Persad-Bissessar has lamented that crime and the economic downturn continue to be key issues as the nation prepares to celebrate its 56th anniversary of independence.,crime economy the key issues,crime economi issu,crime economy issues,crime economi the key issu
polit,Opinion | Who Is Left to Credibly Judge Latin America's Elections,,opinion who left credibly judge latin america elections,credibl judg elect,left credibly judge elections,opinion who leav credibl judg latin america elect
corrupt,Race fraud': how a college quota scandal exposed Brazil 'shistoric,,race fraud how college quota scandal exposed brazil shistoric,race fraud colleg quota scandal expos shistor,race fraud college quota scandal exposed shistoric,race fraud how colleg quota scandal expos brazil shistor
polit,Prosecutor Drops Felony Invasion Of Privacy Charge Against Missouri Gov. Eric Greitens,St. Louis Circuit Attorney Kim Gardner took the action after the defense requested to put her on the stand.,prosecutor drops felony invasion privacy charge against missouri gov eric greitens,prosecutor drop feloni invas privaci charg missouri eric greiten,prosecutor drops felony invasion privacy charge missouri eric greitens,prosecutor drop feloni invas privaci charg against missouri gov eric greiten
crime,A woman is a victim of femicide every 9 days and a half in Paraguay where in 2016 nine of each ten of those victims were killed by their partners or ...,,woman victim femicide every days and half paraguay where nine each ten those victims were killed their partners,woman victim femicid everi half victim kill partner,woman victim femicide days half victims killed partners,woman victim femicid everi day and half paraguay where nine each ten those victim be kill their partner
crime,Venezuela shocked as children arrested for soldiers' killings - BBC,,venezuela shocked children arrested for soldiers killings bbc,shock children arrest soldier kill,shocked children arrested soldiers killings,venezuela shock children arrest for soldier kill bbc
polit,Venezuela says US sanctions will lead to halt in oil exports - BBC,,venezuela says sanctions will lead halt oil exports bbc,sanction lead halt export,says sanctions lead halt exports,venezuela say sanction will lead halt oil export bbc
health,Venezuela health minister fired over mortality stats - BBC News,,venezuela health minister fired over mortality stats bbc news,health minist mortal stat,health minister fired mortality stats,venezuela health minist fire over mortal stat bbc news
polit,The international organization Sea Shepherd is requesting authorization from the government of Ecuador to send an 'anti-hunting patrol' to Galapagos due to the ...,,the international organization sea shepherd requesting authorization from the government ecuador send anti hunting patrol galapagos due the,intern organ shepherd request author govern send anti hunt patrol galapago,international organization shepherd requesting authorization government send anti hunting patrol galapagos,the intern organ sea shepherd request author from the govern ecuador send anti hunt patrol galapago due the
unemploy,Unemployment in Eurozone reaches new record high,"BRUSÃÂ­SELSÃ¢ÂÂThe numÃÂ­ber of unÃÂ­emÃÂ­ployed in the 17-naÃÂ­tion euÃÂ­roÃÂ­zone reached a record high in SepÃÂ­temÃÂ­ber as the bloc's nascent reÃÂ­covÃÂ­ery failed to genÃÂ­erÃÂ­ate jobs, ofÃÂ­fiÃÂ­cial daÃÂ­ta showed.The ranks of the jobÃÂ­less swelled by 60,000 to a record 19.45 milÃÂ­lion, acÃÂ­cordÃÂ­ing to EuÃÂ­roÃÂ­stat, the EuÃÂ­roÃÂ­pean Union's staÃÂ­tisÃÂ­tics agency. Though the unÃÂ­emÃÂ­ployÃÂ­ment rate reÃÂ­mained steady at 12.2 per cent, the preÃÂ­viÃÂ­ous month was reÃÂ­vised up from 12 per cent.",unemployment eurozone reaches new record high,unemploy eurozon reach record high,unemployment eurozone reaches record high,unemploy eurozon reach new record high
crime,Colombia activist killings 'will not be tolerated' says minister | World,,colombia activist killings will not tolerated says minister world,activist kill toler minist,activist killings tolerated says minister,colombia activist kill will not toler say minist world
economi,Union to government: Please save the steel industry,"PRESIDENT of the Steel Workers Union of TT (SWUTT) Christopher Henry today called on Government to do whatever is necessary to ensure that the bidding process for the ArcelorMittal plant, which is currently in liquidation, be reopened. The union is hoping that Macarri Steel Ltd, which has a bid of US $27 million be allowed to purchase the plant instead of the other bidder Nu-Iron Ltd. Nu-Iron is bidding US $20 million for the plant.",union government please save the steel industry,union govern pleas save steel industri,union government save steel industry,union govern pleas save the steel industri
polit,Top House Republican Threatens To Subpoena Trump DOJ Official Over Census Citizenship Request,"Ã¢ÂÂHeÃ¢ÂÂs coming to talk, at some point or another, whether he wants to or not,"" said Rep. Trey Gowdy (R-S.C.).",top house republican threatens subpoena trump doj official over census citizenship request,hous republican threaten subpoena offici census citizenship request,house republican threatens subpoena official census citizenship request,top hous republican threaten subpoena trump doj offici over census citizenship request
health,FDA Approves Gilead Cancer Gene Therapy,"The list price will be $373,000.",fda approves gilead cancer gene therapy,approv gilead cancer gene therapi,approves gilead cancer gene therapy,fda approv gilead cancer gene therapi
crime,ABI. Police commander Abel De La Barra reported Monday that Bolivia and Argentina signed an agreement to fight jointly against the ...,,abi police commander abel barra reported monday that bolivia and argentina signed agreement fight jointly against the,polic command abel barra monday sign agreement fight joint,police commander abel barra reported monday signed agreement fight jointly,abi polic command abel barra report monday that bolivia and argentina sign agreement fight joint against the
health,"Pre-diabetes makes patients out of healthy people, say critics","Labelling people as having pre-diabetes could do more harm than good, experts have said, as research reveals that even some of those involved in coining the term now reject it.",pre diabetes makes patients out healthy people say critics,diabet patient healthi critic,diabetes makes patients healthy people critics,pre diabet make patient out healthi peopl say critic
economi,"Since 2015 Paraguay ranks sixth as a global beef exporter, recalled the Deputy Minister of Livestock Marcos Medina.",,since paraguay ranks sixth global beef exporter recalled the deputy minister livestock marcos medina,sinc rank sixth beef export recal deputi minist livestock marco medina,ranks sixth beef exporter recalled deputy minister livestock marcos medina,sinc paraguay rank sixth global beef export recal the deputi minist livestock marco medina
educ,The competition involves more than 250 thousand students from 88 countries and consists of programming robots with Lego pieces. In Uruguay the tournament is ...,,the competition involves more than thousand students from countries and consists programming robots with lego pieces uruguay the tournament,competit involv thousand student consist program robot lego piec tournament,competition involves thousand students countries consists programming robots lego pieces tournament,the competit involv more than thousand student from countri and consist program robot with lego piec uruguay the tournament
health,Feeling your oats: WhatÃ¢ÂÂs best and healthy,You might have heard about the health benefits of oats and oat-based cereals and products. Due to the healthy sources of complex carbohydrates,feeling your oats whatÃ¢ best and healthy,feel oat whatÃ¢ best healthi,feeling oats whatÃ¢ best healthy,feel your oat whatÃ¢ best and healthi
crime,Chile police raid Catholic church HQ in sex abuse investigation,,chile police raid catholic church sex abuse investigation,polic raid cathol church abus investig,police raid catholic church abuse investigation,chile polic raid cathol church sex abus investig
health,4 Of The Absolute Worst Holiday Stressors And How To Deal With Them,From traveling to high expectations.,the absolute worst holiday stressors and how deal with them,absolut worst stressor deal,absolute worst stressors deal,the absolut worst holiday stressor and how deal with them
polit,Gina Ortiz Jones Wins Democratic Runoff In Texas Congressional Race,The Iraq War veteran will now face GOP Rep. Will Hurd in November. She'll make history if she wins.,gina ortiz jones wins democratic runoff texas congressional race,gina ortiz jone win democrat runoff texa congression race,gina ortiz jones wins democratic runoff texas congressional race,gina ortiz jone win democrat runoff texa congression race
educ,U. de Chile was unable to impart diplomas and conduct studies to state entities after ruling. The current agreements will be maintained and resolution ...,,chile was unable impart diplomas and conduct studies state entities after ruling the current agreements will maintained and resolution,unabl impart diploma conduct studi entiti rule current agreement maintain resolut,unable impart diplomas conduct studies entities ruling current agreements maintained resolution,chile be unabl impart diploma and conduct studi state entiti after rule the current agreement will maintain and resolut
educ,From this Friday new applications for admission to the universities of Ecuador. From this Friday new applications for admission to the ...,,from this friday new applications for admission the universities ecuador from this friday new applications for admission the,applic admiss univers applic admiss,applications admission universities applications admission,from this friday new applic for admiss the univers ecuador from this friday new applic for admiss the
health,Penn Medicine computer with patient info stolen,"About 1,000 patients at Penn Medicine are receiving letters saying a computer with some of their personal information on it was stolen.",penn medicine computer with patient info stolen,penn medicin comput patient info steal,penn medicine patient info stolen,penn medicin comput with patient info steal
economi,Lydia Mamani / La Paz. The company Glencore Finance (Bermuda) filed an international arbitration suit against Bolivia and demands a payment of 675 7 ...,,lydia mamani paz the company glencore finance bermuda filed international arbitration suit against bolivia and demands payment,lydia mamani compani glencor financ bermuda file intern arbitr suit demand payment,lydia mamani company glencore finance bermuda filed international arbitration suit demands payment,lydia mamani paz the compani glencor financ bermuda file intern arbitr suit against bolivia and demand payment
crime,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",She left her husband. He killed their children. Just another day in America.,there were mass shootings texas last week but only,mass shoot texa onli,mass shootings texas,there be mass shoot texa last week but onli
crime,"Josh Powell, Father Who Killed Himself And Children In Fire, Had 400 Sex And Incest Photos (VIDEO)",The Associated Press reports a spokesman for the Utah West Valley City Police declined to comment on why it took authorities,josh powell father who killed himself and children fire had sex and incest photos video,josh powel father kill children incest photo,josh powell father killed children incest photos,josh powel father who kill himself and children fire have sex and incest photo video
crime,Paraguay players accuse football club's ex-boss of abuse - BBC News,,paraguay players accuse football club boss abuse bbc news,player accus footbal club boss abus,players accuse football club boss abuse,paraguay player accus footbal club boss abus bbc news
health,Alcohol in medicines can affect some kids,"Many cough and cold liquids and other over-the-counter products contain some alcohol. In the formulation, this helps to dissolve certain ingredients or preserve the product. Most people wouldn't give this a second thought, and rightly so, but now and then the amount of alcohol in medicines becomes extremely important. One situation is with young children.",alcohol medicines can affect some kids,alcohol medicin affect kid,alcohol medicines affect kids,alcohol medicin can affect some kid
crime,"Cynthia Lynn Davis Identified As Murder Victim In 1997 Cold Case, Alabama Police Say","Almost a decade and a half ago, an elderly man hiking through an Alabama forest discovered a decomposing female body. The",cynthia lynn davis identified murder victim cold case alabama police say,cynthia lynn davi identifi murder victim cold case alabama polic,cynthia lynn davis identified murder victim cold case alabama police,cynthia lynn davi identifi murder victim cold case alabama polic say
polit,Viggo Mortensen calls Argentina president 'neoliberal braggart,,viggo mortensen calls argentina president neoliberal braggart,viggo mortensen presid neoliber braggart,viggo mortensen calls president neoliberal braggart,viggo mortensen call argentina presid neoliber braggart
health,"Green Cross Volunteer Medics, on the Frontline of Venezuela 's ",,green cross volunteer medics the frontline venezuela,green cross volunt medic frontlin,green cross volunteer medics frontline,green cross volunt medic the frontlin venezuela
corrupt,Brazil ianCorruption Case Ensnares Ex-Presidents da Silva and,,brazil iancorruption case ensnares presidents silva and,iancorrupt case ensnar presid silva,iancorruption case ensnares presidents silva,brazil iancorrupt case ensnar presid silva and
crime,Opinion | The Genocide of Brazil's Indians - The New York Times,,opinion the genocide brazil indians the new york times,genocid indian,genocide indians times,opinion the genocid brazil indian the new york time
unemploy,"Social services ready to assist jobless: $15,000 grant, food card relief","As the unÃÂ­emÃÂ­ployÃÂ­ment rate conÃÂ­tinÃÂ­ues to rise, the MinÃÂ­istry of SoÃÂ­cial DeÃÂ­velÃÂ­opÃÂ­ment and FamÃÂ­iÃÂ­ly SerÃÂ­vices is ofÃÂ­ferÃÂ­ing an arÃÂ­ray of soÃÂ­cial serÃÂ­vices to help the jobÃÂ­less get back on their feet.The serÃÂ­vices range from grants, temÃÂ­poÃÂ­rary food cards and counÃÂ­selling, MinÃÂ­isÃÂ­ter of SoÃÂ­cial DeÃÂ­velÃÂ­opÃÂ­ment and FamÃÂ­iÃÂ­ly SerÃÂ­vices CherÃÂ­rie-Ann Crichlow-CockÃÂ­burn said in an inÃÂ­terÃÂ­view over the weekÃÂ­end.",social services ready assist jobless grant food card relief,social servic readi assist jobless grant food card relief,social services ready assist jobless grant food card relief,social servic readi assist jobless grant food card relief
crime,Venezuela protest death toll rises in renewed violence - BBC News,,venezuela protest death toll rises renewed violence bbc news,protest death toll rise renew violenc,protest death toll rises renewed violence,venezuela protest death toll rise renew violenc bbc news
